央视 CCTV_,#genre#
爱尔达体育4,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/a6e61face00c3f1fde5cedf6ffac34b1/master.m3u8
爱尔达体育3,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/ebcca025996ec36d1fe8e0c67d143286/master.m3u8
爱尔达体育2,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/df8d4898ccf64ad6b4ebdcf08fb3b6ae/master.m3u8
爱尔达体育1,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/707eb6ef051ec10020b4be99d26007d9/master.m3u8
爱尔达影剧,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/c3e24fec0b308a20645d99490ec3265c/master.m3u8
爱尔达综合,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/acc6feb10ff8c744e2c07bc92c8f6748/master.m3u8
八大娱乐,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/25ef7fc0160c1dd4158c174f05395f67/master.m3u8
八大戏剧,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/b78a3c41fe39bee408da970c3dab75b7/master.m3u8
八大第一,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/79c7f8374ac31ebe8db8767247903099/master.m3u8
八大综合,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/ae1cdc3692d1462b133e55c0034792f1/master.m3u8
八大精彩台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/ff9fb2009308649ce840f803b0b907b1/master.m3u8
TVBS精采台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/3967709170d6b4f34d389b9eb7f19eb2/master.m3u8
TVBS新闻台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/6cbccb1d36d4376365fd0f8cf81cf7ed/master.m3u8
TVBS欢乐台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/588a30ab3ea51c5d1115b31f7bd184ca/master.m3u8
TVBS,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/455473817406ed73cc2380985faa0089/master.m3u8
中天娱乐,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/49c038c62b35cb8770f4e822f5c5c274/master.m3u8
中天综合,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/d0d2ddd39deb23017e3f9042d82a6610/master.m3u8
中天新闻,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/895295ca4e995d3e3145bde94bfcd07c/master.m3u8
东森综合,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/1a5ef09d70c368daebc9b8168fb7488d/master.m3u8
东森幼幼,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/1f2c63fbb15a50060ad3618ab2f0fc14/master.m3u8
东森电影,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/43d802c11cd88f666d30fe43e1da7481/master.m3u8
东森戏剧,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/6b1ff746f765a163099c71d0681f42e3/master.m3u8
东森新闻,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/d0a3571185b4842894e6f8f42f29db40/master.m3u8
东森财经新闻,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/0583a664cc53441ef3e6c52fb9605d0c/master.m3u8
东森洋片,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/4317e91342884a5d47b1850d1d5c3a87/master.m3u8
纬来电影,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/3907d5b3358742872aefb3628a35892b/master.m3u8
纬来体育,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/269103c10592f5007fd28c4f1b96c1d3/master.m3u8
纬来综合,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/0c612b40ffe8f403e45615d7fbe8d046/master.m3u8
纬来日本,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/4b3c4af56cb272771e374711c3e09723/master.m3u8
纬来育乐,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/c8d3f82e1261e052f893792c1ca5bc5e/master.m3u8
